dir,track,h,search,queue,algo,dom,cov
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,citycar,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,parking,11
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,childsnack,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,floortile,2
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,tetris,9
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,cavediving,7
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,transport,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,thoughtful,11
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,maintenance,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,openstacks,20
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,hiking,16
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,visitall,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,ged,19
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,citycar,1
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,parking,6
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,childsnack,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,floortile,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,tetris,20
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,cavediving,7
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,transport,4
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,thoughtful,5
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,maintenance,1
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,openstacks,13
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,hiking,16
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,visitall,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,ged,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,nomystery,6
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,tidybot,18
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,pegsol,20
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,visitall,4
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,transport,8
