track,h,search,queue,algo,domain,cov
ipc2014,ff1,lazy,RANDOM,h,barman,0
ipc2014,ff1,lazy,RANDOM,h,citycar,0
ipc2014,ff1,lazy,RANDOM,h,parking,11
ipc2014,ff1,lazy,RANDOM,h,childsnack,0
ipc2014,ff1,lazy,RANDOM,h,floortile,2
ipc2014,ff1,lazy,RANDOM,h,tetris,9
ipc2014,ff1,lazy,RANDOM,h,cavediving,7
ipc2014,ff1,lazy,RANDOM,h,transport,0
ipc2014,ff1,lazy,RANDOM,h,thoughtful,11
ipc2014,ff1,lazy,RANDOM,h,maintenance,0
ipc2014,ff1,lazy,RANDOM,h,openstacks,20
ipc2014,ff1,lazy,RANDOM,h,hiking,16
ipc2014,ff1,lazy,RANDOM,h,visitall,0
ipc2014,ff1,lazy,RANDOM,h,ged,19
ipc2014,cg1,lazy,RANDOM,h,barman,0
ipc2014,cg1,lazy,RANDOM,h,citycar,1
ipc2014,cg1,lazy,RANDOM,h,parking,6
ipc2014,cg1,lazy,RANDOM,h,childsnack,0
ipc2014,cg1,lazy,RANDOM,h,floortile,0
ipc2014,cg1,lazy,RANDOM,h,tetris,20
ipc2014,cg1,lazy,RANDOM,h,cavediving,7
ipc2014,cg1,lazy,RANDOM,h,transport,4
ipc2014,cg1,lazy,RANDOM,h,thoughtful,5
ipc2014,cg1,lazy,RANDOM,h,maintenance,1
ipc2014,cg1,lazy,RANDOM,h,openstacks,13
ipc2014,cg1,lazy,RANDOM,h,hiking,16
ipc2014,cg1,lazy,RANDOM,h,visitall,0
ipc2014,cg1,lazy,RANDOM,h,ged,0
ipc2011,cg1,lazy,RANDOM,h,nomystery,6
ipc2011,cg1,lazy,RANDOM,h,tidybot,18
ipc2011,cg1,lazy,RANDOM,h,pegsol,20
ipc2011,cg1,lazy,RANDOM,h,visitall,4
ipc2011,cg1,lazy,RANDOM,h,transport,8
ipc2011,cg1,lazy,RANDOM,h,elevators,8
ipc2011,cg1,lazy,RANDOM,h,woodworking,1
ipc2011,cg1,lazy,RANDOM,h,barman,0
ipc2011,cg1,lazy,RANDOM,h,parcprinter,10
ipc2011,cg1,lazy,RANDOM,h,parking,20
ipc2011,cg1,lazy,RANDOM,h,floortile,0
ipc2011,cg1,lazy,RANDOM,h,scanalyzer,20
ipc2011,cg1,lazy,RANDOM,h,sokoban,17
ipc2011,cg1,lazy,RANDOM,h,openstacks,18
ipc2011,cg1,lazy,RANDOM,h,nomystery,5
ipc2011,cg1,lazy,RANDOM,h,tidybot,18
ipc2011,cg1,lazy,RANDOM,h,pegsol,20
ipc2011,cg1,lazy,RANDOM,h,visitall,4
ipc2011,cg1,lazy,RANDOM,h,transport,11
ipc2011,cg1,lazy,RANDOM,h,elevators,9
ipc2011,cg1,lazy,RANDOM,h,woodworking,2
ipc2011,cg1,lazy,RANDOM,h,barman,0
ipc2011,cg1,lazy,RANDOM,h,parcprinter,11
ipc2011,cg1,lazy,RANDOM,h,parking,19
ipc2011,cg1,lazy,RANDOM,h,floortile,0
ipc2011,cg1,lazy,RANDOM,h,scanalyzer,20
ipc2011,cg1,lazy,RANDOM,h,sokoban,14
ipc2011,cg1,lazy,RANDOM,h,openstacks,18
ipc2014,ff1,lazy,RANDOM,h,barman,0
ipc2014,ff1,lazy,RANDOM,h,citycar,0
ipc2014,ff1,lazy,RANDOM,h,parking,15
ipc2014,ff1,lazy,RANDOM,h,childsnack,0
ipc2014,ff1,lazy,RANDOM,h,floortile,2
ipc2014,ff1,lazy,RANDOM,h,tetris,10
ipc2014,ff1,lazy,RANDOM,h,cavediving,7
ipc2014,ff1,lazy,RANDOM,h,transport,0
ipc2014,ff1,lazy,RANDOM,h,thoughtful,7
ipc2014,ff1,lazy,RANDOM,h,maintenance,1
ipc2014,ff1,lazy,RANDOM,h,openstacks,20
ipc2014,ff1,lazy,RANDOM,h,hiking,19
ipc2014,ff1,lazy,RANDOM,h,visitall,0
ipc2014,ff1,lazy,RANDOM,h,ged,20
ipc2011,ff1,lazy,RANDOM,h,nomystery,6
ipc2011,ff1,lazy,RANDOM,h,tidybot,16
ipc2011,ff1,lazy,RANDOM,h,pegsol,20
ipc2011,ff1,lazy,RANDOM,h,visitall,6
ipc2011,ff1,lazy,RANDOM,h,transport,0
ipc2011,ff1,lazy,RANDOM,h,elevators,19
ipc2011,ff1,lazy,RANDOM,h,woodworking,4
ipc2011,ff1,lazy,RANDOM,h,barman,9
ipc2011,ff1,lazy,RANDOM,h,parcprinter,8
ipc2011,ff1,lazy,RANDOM,h,parking,20
ipc2011,ff1,lazy,RANDOM,h,floortile,5
ipc2011,ff1,lazy,RANDOM,h,scanalyzer,17
ipc2011,ff1,lazy,RANDOM,h,sokoban,19
ipc2011,ff1,lazy,RANDOM,h,openstacks,20
ipc2011,ff1,lazy,RANDOM,h,nomystery,6
ipc2011,ff1,lazy,RANDOM,h,tidybot,15
ipc2011,ff1,lazy,RANDOM,h,pegsol,20
ipc2011,ff1,lazy,RANDOM,h,visitall,4
ipc2011,ff1,lazy,RANDOM,h,transport,0
ipc2011,ff1,lazy,RANDOM,h,elevators,19
ipc2011,ff1,lazy,RANDOM,h,woodworking,5
ipc2011,ff1,lazy,RANDOM,h,barman,8
ipc2011,ff1,lazy,RANDOM,h,parcprinter,9
ipc2011,ff1,lazy,RANDOM,h,parking,20
ipc2011,ff1,lazy,RANDOM,h,floortile,4
ipc2011,ff1,lazy,RANDOM,h,scanalyzer,17
ipc2011,ff1,lazy,RANDOM,h,sokoban,19
ipc2011,ff1,lazy,RANDOM,h,openstacks,20
ipc2014,cg1,lazy,RANDOM,h,barman,0
ipc2014,cg1,lazy,RANDOM,h,citycar,1
ipc2014,cg1,lazy,RANDOM,h,parking,8
ipc2014,cg1,lazy,RANDOM,h,childsnack,0
ipc2014,cg1,lazy,RANDOM,h,floortile,0
ipc2014,cg1,lazy,RANDOM,h,tetris,20
ipc2014,cg1,lazy,RANDOM,h,cavediving,7
ipc2014,cg1,lazy,RANDOM,h,transport,5
ipc2014,cg1,lazy,RANDOM,h,thoughtful,5
ipc2014,cg1,lazy,RANDOM,h,maintenance,0
ipc2014,cg1,lazy,RANDOM,h,openstacks,15
ipc2014,cg1,lazy,RANDOM,h,hiking,16
ipc2014,cg1,lazy,RANDOM,h,visitall,0
ipc2014,cg1,lazy,RANDOM,h,ged,0
ipc2014,cg1,lazy,RANDOM,h,barman,0
ipc2014,cg1,lazy,RANDOM,h,citycar,1
ipc2014,cg1,lazy,RANDOM,h,parking,7
ipc2014,cg1,lazy,RANDOM,h,childsnack,0
ipc2014,cg1,lazy,RANDOM,h,floortile,0
ipc2014,cg1,lazy,RANDOM,h,tetris,20
ipc2014,cg1,lazy,RANDOM,h,cavediving,7
ipc2014,cg1,lazy,RANDOM,h,transport,4
ipc2014,cg1,lazy,RANDOM,h,thoughtful,6
ipc2014,cg1,lazy,RANDOM,h,maintenance,0
ipc2014,cg1,lazy,RANDOM,h,openstacks,13
ipc2014,cg1,lazy,RANDOM,h,hiking,14
ipc2014,cg1,lazy,RANDOM,h,visitall,0
ipc2014,cg1,lazy,RANDOM,h,ged,0
ipc2011,cg1,lazy,RANDOM,h,nomystery,5
ipc2011,cg1,lazy,RANDOM,h,tidybot,18
ipc2011,cg1,lazy,RANDOM,h,pegsol,20
ipc2011,cg1,lazy,RANDOM,h,visitall,4
ipc2011,cg1,lazy,RANDOM,h,transport,13
ipc2011,cg1,lazy,RANDOM,h,elevators,9
ipc2011,cg1,lazy,RANDOM,h,woodworking,1
ipc2011,cg1,lazy,RANDOM,h,barman,0
ipc2011,cg1,lazy,RANDOM,h,parcprinter,9
ipc2011,cg1,lazy,RANDOM,h,parking,19
ipc2011,cg1,lazy,RANDOM,h,floortile,0
ipc2011,cg1,lazy,RANDOM,h,scanalyzer,20
ipc2011,cg1,lazy,RANDOM,h,sokoban,16
ipc2011,cg1,lazy,RANDOM,h,openstacks,19
ipc2014,ff1,lazy,RANDOM,h,barman,0
ipc2014,ff1,lazy,RANDOM,h,citycar,0
ipc2014,ff1,lazy,RANDOM,h,parking,12
